# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			5394003	5394003	5394003			
N_multimapping			9033686	9033686	9033686			
N_noFeature			2133931	32487959	32339784			
N_ambiguous			6818361	1896861	1865665			
ENSG00000000003.15	TSPAN6	protein_coding	7254	3586	3668	77.0800	30.9888	31.9181
ENSG00000000005.6	TNMD	protein_coding	2	2	0	0.0653	0.0263	0.0270
ENSG00000000419.13	DPM1	protein_coding	2428	1259	1169	96.9568	38.9800	40.1490
ENSG00000000457.14	SCYL3	protein_coding	716	616	644	5.0139	2.0157	2.0762
ENSG00000000460.17	C1orf112	protein_coding	521	550	552	4.2063	1.6911	1.7418
ENSG00000000938.13	FGR	protein_coding	735	354	382	10.4749	4.2113	4.3376
ENSG00000000971.16	CFH	protein_coding	15136	7568	7568	91.4208	36.7543	37.8566
ENSG00000001036.14	FUCA2	protein_coding	3989	3189	3162	68.1309	27.3910	28.2124
ENSG00000001084.13	GCLC	protein_coding	6293	3704	3641	35.1956	14.1498	14.5742
ENSG00000001167.14	NFYA	protein_coding	1923	1016	1067	24.3208	9.7778	10.0710
ENSG00000001460.18	STPG1	protein_coding	1542	806	798	8.7325	3.5108	3.6161
ENSG00000001461.17	NIPAL3	protein_coding	2443	1277	1229	12.5319	5.0383	5.1894
ENSG00000001497.18	LAS1L	protein_coding	2641	1315	1331	10.1388	4.0762	4.1984
ENSG00000001561.7	ENPP4	protein_coding	1484	771	713	15.4021	6.1922	6.3779
ENSG00000001617.12	SEMA3F	protein_coding	4827	2436	2403	48.2089	19.3816	19.9629
ENSG00000001626.16	CFTR	protein_coding	762	376	389	3.6942	1.4852	1.5297
ENSG00000001629.10	ANKIB1	protein_coding	3195	1587	1616	20.8412	8.3789	8.6302
ENSG00000001630.17	CYP51A1	protein_coding	64	37	28	0.8741	0.3514	0.3620
ENSG00000001631.16	KRIT1	protein_coding	298	164	142	2.3152	0.9308	0.9587
ENSG00000002016.18	RAD52	protein_coding	223	109	114	2.3869	0.9596	0.9884
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	15	7	9	0.1146	0.0461	0.0475
ENSG00000002330.14	BAD	protein_coding	476	1142	1193	13.4325	5.4003	5.5623
ENSG00000002549.12	LAP3	protein_coding	6147	3033	3114	78.2770	31.4701	32.4138
ENSG00000002586.20	CD99	protein_coding	6899	3115	3784	68.4488	27.5188	28.3440
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	2086	1105	992	13.5229	5.4367	5.5997
ENSG00000002726.21	AOC1	protein_coding	84	39	45	1.0694	0.4299	0.4428
ENSG00000002745.13	WNT16	protein_coding	1812	898	914	26.7575	10.7574	11.0800
ENSG00000002746.15	HECW1	protein_coding	38	32	21	0.1314	0.0528	0.0544
ENSG00000002822.15	MAD1L1	protein_coding	16	10	6	0.1067	0.0429	0.0442
ENSG00000002834.18	LASP1	protein_coding	14215	9022	8860	97.0326	39.0104	40.1804
ENSG00000002919.15	SNX11	protein_coding	1657	826	833	19.3239	7.7689	8.0018
ENSG00000002933.9	TMEM176A	protein_coding	2197	1067	1138	30.4553	12.2441	12.6113
ENSG00000003056.8	M6PR	protein_coding	4687	3130	3258	63.0148	25.3341	26.0939
ENSG00000003096.14	KLHL13	protein_coding	571	293	278	3.9412	1.5845	1.6320
ENSG00000003137.8	CYP26B1	protein_coding	830	429	401	7.9771	3.2071	3.3032
ENSG00000003147.19	ICA1	protein_coding	459	279	240	4.5307	1.8215	1.8761
ENSG00000003249.15	DBNDD1	protein_coding	602	280	327	6.5029	2.6144	2.6928
ENSG00000003393.15	ALS2	protein_coding	2147	1094	1055	9.9141	3.9858	4.1053
ENSG00000003400.15	CASP10	protein_coding	3392	1692	1700	21.5658	8.6702	8.9302
ENSG00000003402.20	CFLAR	protein_coding	7811	4634	4522	16.7481	6.7333	6.9353
ENSG00000003436.16	TFPI	protein_coding	3627	1944	1978	14.9238	5.9999	6.1798
ENSG00000003509.16	NDUFAF7	protein_coding	567	449	472	7.4853	3.0093	3.0996
ENSG00000003756.17	RBM5	protein_coding	1795	1353	1296	8.3535	3.3584	3.4591
ENSG00000003987.14	MTMR7	protein_coding	41	133	114	0.2852	0.1147	0.1181
ENSG00000003989.18	SLC7A2	protein_coding	1440	741	699	8.7801	3.5299	3.6357
ENSG00000004059.11	ARF5	protein_coding	4823	2439	2462	127.3771	51.2100	52.7458
ENSG00000004139.14	SARM1	protein_coding	150	636	582	0.6510	0.2617	0.2696
